"gene","selected_folds","selection_frequency"
"FOS",35,0.583333333333333
"MAFF",34,0.566666666666667
"KCNF1",32,0.533333333333333
"CCNB3",31,0.516666666666667
"NEURL3",29,0.483333333333333
"ARC",28,0.466666666666667
"IL6",25,0.416666666666667
"ATF3",24,0.4
"FRY",23,0.383333333333333
"PPP1R15A",23,0.383333333333333
"VGF",23,0.383333333333333
"DUSP5",21,0.35
"CXCL2",20,0.333333333333333
"PLK3",20,0.333333333333333
"PLAUR",19,0.316666666666667
"TP73",19,0.316666666666667
"CNBD1",18,0.3
"MT-ND5",18,0.3
"EXOC4",17,0.283333333333333
"ALOXE3",16,0.266666666666667
"EGR1",16,0.266666666666667
"GDF15",15,0.25
"MT-ND6",15,0.25
"SUPT3H",15,0.25
"BCAS3",14,0.233333333333333
"CXCL8",14,0.233333333333333
"ULK4",14,0.233333333333333
"BBS9",13,0.216666666666667
"ORC1",13,0.216666666666667
"PDGFB",13,0.216666666666667
"ZNF488",13,0.216666666666667
"AMOT",12,0.2
"ANK2",12,0.2
"GRK1",12,0.2
"RIBC2",12,0.2
"SALL2",12,0.2
"SPHK1",12,0.2
"TROAP",12,0.2
"EXO1",11,0.183333333333333
"PCDH18",11,0.183333333333333
"CEMIP2",10,0.166666666666667
"THBS1",10,0.166666666666667
"ZNF730",10,0.166666666666667
"CCL26",9,0.15
"COL5A2",9,0.15
"NR4A3",9,0.15
"APOL6",8,0.133333333333333
"BRME1",8,0.133333333333333
"CCNE1",8,0.133333333333333
"CKAP2",8,0.133333333333333
"E2F2",8,0.133333333333333
"HEG1",8,0.133333333333333
"LYPD6",8,0.133333333333333
"PRICKLE1",8,0.133333333333333
"NEK2",7,0.116666666666667
"OSGIN1",7,0.116666666666667
"UBALD2",7,0.116666666666667
"UBOX5",7,0.116666666666667
"BACH2",6,0.1
"ENSG00000268531",6,0.1
"FAT4",6,0.1
"RPL22L1",6,0.1
"SMOX",6,0.1
"UNG",6,0.1
"BUB1",5,0.0833333333333333
"BUB1B",5,0.0833333333333333
"CAND2",5,0.0833333333333333
"H2AC8",5,0.0833333333333333
"HSF2",5,0.0833333333333333
"IL11",5,0.0833333333333333
"MUC7",5,0.0833333333333333
"MYC",5,0.0833333333333333
"PAQR8",5,0.0833333333333333
"PTPRM",5,0.0833333333333333
"RASL12",5,0.0833333333333333
"SERTAD4",5,0.0833333333333333
"ANAPC10",4,0.0666666666666667
"ARMCX4",4,0.0666666666666667
"CSRNP1",4,0.0666666666666667
"GAS2L3",4,0.0666666666666667
"GNL2",4,0.0666666666666667
