"cv_repeat","accuracy","balanced_accuracy","macro_auc","sensitivity_CON","sensitivity_CIS","sensitivity_PTX","specificity_CON","specificity_CIS","specificity_PTX","auc_CON","auc_CIS","auc_PTX"
1,0.962962962962963,0.962962962962963,1,1,0.888888888888889,1,0.944444444444444,1,1,1,1,1
2,0.925925925925926,0.925925925925926,1,1,0.777777777777778,1,0.944444444444444,1,0.944444444444444,1,1,1
3,0.962962962962963,0.962962962962963,0.991769547325103,1,0.888888888888889,1,0.944444444444444,1,1,0.993827160493827,0.981481481481482,1
4,0.962962962962963,0.962962962962963,0.979423868312757,1,0.888888888888889,1,0.944444444444444,1,1,0.987654320987654,0.950617283950617,1
5,0.962962962962963,0.962962962962963,1,0.888888888888889,1,1,1,0.944444444444444,1,1,1,1
6,0.962962962962963,0.962962962962963,1,1,0.888888888888889,1,0.944444444444444,1,1,1,1,1
7,0.925925925925926,0.925925925925926,0.989711934156379,0.888888888888889,0.888888888888889,1,0.944444444444444,0.944444444444444,1,0.993827160493827,0.975308641975309,1
8,0.925925925925926,0.925925925925926,0.993827160493827,0.888888888888889,0.888888888888889,1,0.944444444444444,0.944444444444444,1,0.987654320987654,0.993827160493827,1
9,0.851851851851852,0.851851851851852,0.979423868312757,0.888888888888889,0.666666666666667,1,0.944444444444444,0.944444444444444,0.888888888888889,0.987654320987654,0.95679012345679,0.993827160493827
10,0.851851851851852,0.851851851851852,0.991769547325103,0.888888888888889,0.666666666666667,1,0.944444444444444,0.944444444444444,0.888888888888889,0.993827160493827,0.981481481481482,1
11,0.851851851851852,0.851851851851852,0.960905349794239,0.888888888888889,0.666666666666667,1,0.944444444444444,0.944444444444444,0.888888888888889,0.993827160493827,0.925925925925926,0.962962962962963
12,0.962962962962963,0.962962962962963,0.98559670781893,1,0.888888888888889,1,0.944444444444444,1,1,0.993827160493827,0.962962962962963,1
13,0.888888888888889,0.888888888888889,0.991769547325103,0.888888888888889,0.777777777777778,1,0.944444444444444,0.944444444444444,0.944444444444444,0.987654320987654,0.987654320987654,1
14,0.962962962962963,0.962962962962963,1,1,0.888888888888889,1,0.944444444444444,1,1,1,1,1
15,0.962962962962963,0.962962962962963,0.991769547325103,1,0.888888888888889,1,0.944444444444444,1,1,0.993827160493827,0.981481481481482,1
16,0.925925925925926,0.925925925925926,0.993827160493827,0.888888888888889,0.888888888888889,1,1,0.944444444444444,0.944444444444444,0.987654320987654,0.993827160493827,1
17,0.962962962962963,0.962962962962963,0.993827160493827,1,0.888888888888889,1,0.944444444444444,1,1,0.993827160493827,0.987654320987654,1
18,1,1,1,1,1,1,1,1,1,1,1,1
19,0.925925925925926,0.925925925925926,0.989711934156379,0.888888888888889,0.888888888888889,1,0.944444444444444,0.944444444444444,1,0.987654320987654,0.981481481481482,1
20,0.851851851851852,0.851851851851852,0.979423868312757,1,0.555555555555556,1,0.944444444444444,1,0.833333333333333,0.987654320987654,0.962962962962963,0.987654320987654
