"metric","mean","median","lower_95","upper_95"
"accuracy",0.92962962962963,0.944444444444444,0.851851851851852,1
"balanced_accuracy",0.92962962962963,0.944444444444444,0.851851851851852,1
"macro_auc",0.990637860082304,0.991769547325103,0.960905349794239,1
"sensitivity_CON",0.95,1,0.888888888888889,1
"sensitivity_CIS",0.838888888888889,0.888888888888889,0.555555555555556,1
"sensitivity_PTX",1,1,1,1
"specificity_CON",0.952777777777778,0.944444444444444,0.944444444444444,1
"specificity_CIS",0.975,1,0.944444444444444,1
"specificity_PTX",0.966666666666667,1,0.833333333333333,1
"auc_CON",0.993518518518518,0.993827160493827,0.987654320987654,1
"auc_CIS",0.981172839506173,0.984567901234568,0.925925925925926,1
"auc_PTX",0.997222222222222,1,0.962962962962963,1
